Voltage(V),Current(A),Throttle(%),Temperature(C),Motor RPM
35.35,124.98,100.00,27.86,27082.28
36.05,82.18,54.80,27.86,14539.65
36.40,37.24,47.20,27.86,12963.88
37.10,41.52,59.20,27.86,15114.91
37.45,60.78,70.00,27.25,16623.52
37.10,65.06,67.60,27.25,16719.01
37.10,50.08,58.00,26.64,14883.05
37.10,43.66,58.00,26.64,14825.30
37.10,37.24,50.40,26.64,13517.18
37.45,20.12,8.00,26.64,7034.72
38.15,5.14,11.20,27.25,4100.68
38.50,3.00,12.40,28.46,4182.90
38.85,5.14,12.40,29.07,4189.21
39.20,9.42,12.40,29.07,4194.96
39.55,9.42,12.40,29.68,4213.17
39.55,9.42,12.40,29.68,4242.12
39.55,7.28,12.40,29.68,4233.01
39.55,7.28,12.40,29.68,4273.56
39.55,7.28,12.40,29.68,4240.06
39.55,7.28,12.40,29.68,4243.89
39.55,7.28,12.40,30.29,4235.36
39.55,7.28,12.40,30.29,4250.97
39.55,5.14,12.40,30.29,4262.23
39.55,5.14,12.40,29.68,4315.50
39.55,7.28,12.40,29.68,4414.29
39.55,9.42,12.40,29.68,4505.40
39.55,9.42,12.40,30.29,4599.30
39.55,7.28,12.40,30.29,4695.40
39.55,7.28,12.40,30.29,4636.28
39.55,7.28,12.40,30.29,4638.39
39.55,5.14,12.40,30.29,4632.06
39.55,5.14,8.80,30.29,3757.13
39.55,5.14,8.80,30.29,3855.72
39.55,5.14,8.80,30.29,3790.68
39.55,5.14,8.80,30.29,3749.75
39.55,3.00,8.80,30.29,3732.12
